City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Qeshm,26.96,56.27,68.0,18,0,9.17,IR,1602901257
Bilma,18.69,12.92,80.4,20,0,1.74,NE,1602901287
Saint George,37.1,-113.58,73.4,10,1,3.36,US,1602901121
Chabahar,25.29,60.64,75.52,24,0,8.16,IR,1602901299
Taoudenni,22.68,-3.98,83.55,21,0,8.41,ML,1602901301
San Jose,37.34,-121.89,82.99,18,40,5.82,US,1602901127
